,SRC_IP,DST_IP,SRC_PORT,DST_PORT,PROTOCOL,TOS,TIMESTAMP_START,TIMESTAMP_END,PACKETS,BYTES
58,34.107.221.82,192.168.64.2,80,33558,tcp,0,2022-02-08 01:49:11.917804,2022-02-08 01:49:11.917804,1,354
59,192.168.64.2,34.107.221.82,33558,80,tcp,0,2022-02-08 01:49:11.917812,2022-02-08 01:49:11.917812,1,52
60,192.168.64.2,192.168.64.1,35227,53,udp,0,2022-02-08 01:49:11.919023,2022-02-08 01:49:11.919023,1,92
61,192.168.64.2,192.168.64.1,36649,53,udp,0,2022-02-08 01:49:11.919074,2022-02-08 01:49:11.919074,1,92
62,192.168.64.2,192.168.64.1,53684,53,udp,0,2022-02-08 01:49:11.923832,2022-02-08 01:49:11.923832,1,71
63,192.168.64.2,192.168.64.1,37709,53,udp,0,2022-02-08 01:49:11.923886,2022-02-08 01:49:11.923886,1,71
64,72.21.91.29,192.168.64.2,80,42842,tcp,0,2022-02-08 01:49:11.928377,2022-02-08 01:49:11.928377,1,52
65,72.21.91.29,192.168.64.2,80,42842,tcp,0,2022-02-08 01:49:11.928422,2022-02-08 01:49:11.928422,1,850
66,192.168.64.2,72.21.91.29,42842,80,tcp,0,2022-02-08 01:49:11.928430,2022-02-08 01:49:11.928430,1,52
67,192.168.64.2,192.168.64.1,53193,53,udp,0,2022-02-08 01:49:11.931562,2022-02-08 01:49:11.931562,1,68
68,192.168.64.2,192.168.64.1,52907,53,udp,0,2022-02-08 01:49:11.933098,2022-02-08 01:49:11.933098,1,68
69,192.168.64.2,192.168.64.1,37138,53,udp,0,2022-02-08 01:49:11.933293,2022-02-08 01:49:11.933293,1,70
70,192.168.64.2,192.168.64.1,38941,53,udp,0,2022-02-08 01:49:11.933336,2022-02-08 01:49:11.933336,1,70
71,192.168.64.2,34.107.221.82,33564,80,tcp,0,2022-02-08 01:49:11.933533,2022-02-08 01:49:11.933533,1,60
72,192.168.64.1,192.168.64.2,53,53193,udp,0,2022-02-08 01:49:11.934957,2022-02-08 01:49:11.934957,1,84
73,192.168.64.1,192.168.64.2,53,52907,udp,0,2022-02-08 01:49:11.937378,2022-02-08 01:49:11.937378,1,96
74,192.168.64.1,192.168.64.2,53,37138,udp,0,2022-02-08 01:49:11.937578,2022-02-08 01:49:11.937578,1,102
75,192.168.64.1,192.168.64.2,53,38941,udp,0,2022-02-08 01:49:11.937655,2022-02-08 01:49:11.937655,1,127
76,192.168.64.2,54.187.205.23,51416,443,tcp,0,2022-02-08 01:49:11.941743,2022-02-08 01:49:11.941743,1,471
77,99.84.70.99,192.168.64.2,443,46450,tcp,0,2022-02-08 01:49:11.945599,2022-02-08 01:49:11.945599,1,60
78,192.168.64.2,99.84.70.99,46450,443,tcp,0,2022-02-08 01:49:11.945656,2022-02-08 01:49:11.945656,1,52
79,192.168.64.2,99.84.70.99,46450,443,tcp,0,2022-02-08 01:49:11.946779,2022-02-08 01:49:11.946779,1,569
80,192.168.64.1,192.168.64.2,53,53684,udp,0,2022-02-08 01:49:11.949034,2022-02-08 01:49:11.949034,1,170
81,192.168.64.1,192.168.64.2,53,37709,udp,0,2022-02-08 01:49:11.949034,2022-02-08 01:49:11.949034,1,194
82,192.168.64.2,23.47.52.114,33058,80,tcp,0,2022-02-08 01:49:11.949456,2022-02-08 01:49:11.949456,1,60
83,34.107.221.82,192.168.64.2,80,33564,tcp,0,2022-02-08 01:49:11.954588,2022-02-08 01:49:11.954588,1,60
84,192.168.64.2,34.107.221.82,33564,80,tcp,0,2022-02-08 01:49:11.954619,2022-02-08 01:49:11.954619,1,52
85,192.168.64.2,34.107.221.82,33564,80,tcp,0,2022-02-08 01:49:11.954736,2022-02-08 01:49:11.954736,1,354
86,23.47.52.114,192.168.64.2,80,33058,tcp,0,2022-02-08 01:49:11.968818,2022-02-08 01:49:11.968818,1,60
87,192.168.64.2,23.47.52.114,33058,80,tcp,0,2022-02-08 01:49:11.968859,2022-02-08 01:49:11.968859,1,52
88,192.168.64.2,23.47.52.114,33058,80,tcp,0,2022-02-08 01:49:11.968956,2022-02-08 01:49:11.968956,1,474
89,34.107.221.82,192.168.64.2,80,33564,tcp,0,2022-02-08 01:49:11.978401,2022-02-08 01:49:11.978401,1,52
90,34.107.221.82,192.168.64.2,80,33564,tcp,0,2022-02-08 01:49:11.978402,2022-02-08 01:49:11.978402,1,272
91,192.168.64.2,34.107.221.82,33564,80,tcp,0,2022-02-08 01:49:11.978420,2022-02-08 01:49:11.978420,1,52
92,23.47.52.114,192.168.64.2,80,33058,tcp,0,2022-02-08 01:49:11.988702,2022-02-08 01:49:11.988702,1,52
93,23.47.52.114,192.168.64.2,80,33058,tcp,0,2022-02-08 01:49:11.989412,2022-02-08 01:49:11.989412,1,941
94,192.168.64.2,23.47.52.114,33058,80,tcp,0,2022-02-08 01:49:11.989421,2022-02-08 01:49:11.989421,1,52
95,192.168.64.2,34.117.237.239,55946,443,tcp,0,2022-02-08 01:49:11.998752,2022-02-08 01:49:11.998752,1,116
96,192.168.64.2,34.117.237.239,55946,443,tcp,0,2022-02-08 01:49:11.998942,2022-02-08 01:49:11.998942,1,222
97,192.168.64.2,34.117.237.239,55946,443,tcp,0,2022-02-08 01:49:11.998951,2022-02-08 01:49:11.998951,1,291
98,99.84.70.99,192.168.64.2,443,46450,tcp,0,2022-02-08 01:49:12.007690,2022-02-08 01:49:12.007690,1,52
99,192.168.64.1,192.168.64.2,53,35227,udp,0,2022-02-08 01:49:12.007972,2022-02-08 01:49:12.007972,1,196
100,192.168.64.1,192.168.64.2,53,36649,udp,0,2022-02-08 01:49:12.008060,2022-02-08 01:49:12.008060,1,356
101,192.168.64.2,99.84.70.21,53662,443,tcp,0,2022-02-08 01:49:12.008505,2022-02-08 01:49:12.008505,1,60
102,99.84.70.99,192.168.64.2,443,46450,tcp,0,2022-02-08 01:49:12.014299,2022-02-08 01:49:12.014299,2,4124
103,54.187.205.23,192.168.64.2,443,51416,tcp,0,2022-02-08 01:49:12.014299,2022-02-08 01:49:12.014299,1,619
104,192.168.64.2,99.84.70.99,46450,443,tcp,0,2022-02-08 01:49:12.014315,2022-02-08 01:49:12.014315,1,52
105,192.168.64.2,99.84.70.99,46450,443,tcp,0,2022-02-08 01:49:12.014330,2022-02-08 01:49:12.014330,1,52
106,192.168.64.2,54.187.205.23,51416,443,tcp,0,2022-02-08 01:49:12.014334,2022-02-08 01:49:12.014334,1,52
107,192.168.64.2,99.84.70.99,46450,443,tcp,0,2022-02-08 01:49:12.015739,2022-02-08 01:49:12.015739,1,116
108,192.168.64.2,99.84.70.99,46450,443,tcp,0,2022-02-08 01:49:12.015818,2022-02-08 01:49:12.015818,1,410
109,34.117.237.239,192.168.64.2,443,55946,tcp,0,2022-02-08 01:49:12.020598,2022-02-08 01:49:12.020598,1,600
110,192.168.64.2,34.117.237.239,55946,443,tcp,0,2022-02-08 01:49:12.020615,2022-02-08 01:49:12.020615,1,52
111,192.168.64.2,34.117.237.239,55946,443,tcp,0,2022-02-08 01:49:12.020844,2022-02-08 01:49:12.020844,1,83
112,34.117.237.239,192.168.64.2,443,55946,tcp,0,2022-02-08 01:49:12.021062,2022-02-08 01:49:12.021062,2,135
113,192.168.64.2,34.117.237.239,55946,443,tcp,0,2022-02-08 01:49:12.021068,2022-02-08 01:49:12.021068,1,52
114,34.117.237.239,192.168.64.2,443,55946,tcp,0,2022-02-08 01:49:12.046669,2022-02-08 01:49:12.046669,1,52
115,99.84.70.21,192.168.64.2,443,53662,tcp,0,2022-02-08 01:49:12.074139,2022-02-08 01:49:12.074139,1,60
116,192.168.64.2,99.84.70.21,53662,443,tcp,0,2022-02-08 01:49:12.074173,2022-02-08 01:49:12.074173,1,52
117,192.168.64.2,99.84.70.21,53662,443,tcp,0,2022-02-08 01:49:12.074297,2022-02-08 01:49:12.074297,1,268
118,99.84.70.99,192.168.64.2,443,46450,tcp,0,2022-02-08 01:49:12.077081,2022-02-08 01:49:12.077081,1,52
119,99.84.70.99,192.168.64.2,443,46450,tcp,0,2022-02-08 01:49:12.077413,2022-02-08 01:49:12.077413,1,52
120,99.84.70.99,192.168.64.2,443,46450,tcp,0,2022-02-08 01:49:12.078166,2022-02-08 01:49:12.078166,1,1420
121,192.168.64.2,99.84.70.99,46450,443,tcp,0,2022-02-08 01:49:12.078175,2022-02-08 01:49:12.078175,1,52
122,99.84.70.99,192.168.64.2,443,46450,tcp,0,2022-02-08 01:49:12.078316,2022-02-08 01:49:12.078316,1,272
123,192.168.64.2,99.84.70.99,46450,443,tcp,0,2022-02-08 01:49:12.078319,2022-02-08 01:49:12.078319,1,52
124,34.117.237.239,192.168.64.2,443,55946,tcp,0,2022-02-08 01:49:12.082391,2022-02-08 01:49:12.082391,2,1095
125,192.168.64.2,34.117.237.239,55946,443,tcp,0,2022-02-08 01:49:12.082407,2022-02-08 01:49:12.082407,1,52
126,192.168.64.2,34.117.237.239,55946,443,tcp,0,2022-02-08 01:49:12.082420,2022-02-08 01:49:12.082420,1,52
127,34.117.237.239,192.168.64.2,443,55946,tcp,0,2022-02-08 01:49:12.082774,2022-02-08 01:49:12.082774,2,299
128,192.168.64.2,34.117.237.239,55946,443,tcp,0,2022-02-08 01:49:12.082777,2022-02-08 01:49:12.082777,1,52
129,192.168.64.2,34.117.237.239,55946,443,tcp,0,2022-02-08 01:49:12.082782,2022-02-08 01:49:12.082782,1,52
130,192.168.64.2,34.117.237.239,55946,443,tcp,0,2022-02-08 01:49:12.082817,2022-02-08 01:49:12.082817,1,91
131,34.117.237.239,192.168.64.2,443,55946,tcp,0,2022-02-08 01:49:12.105170,2022-02-08 01:49:12.105170,1,52
132,99.84.70.21,192.168.64.2,443,53662,tcp,0,2022-02-08 01:49:12.136310,2022-02-08 01:49:12.136310,1,52
133,99.84.70.21,192.168.64.2,443,53662,tcp,0,2022-02-08 01:49:12.136790,2022-02-08 01:49:12.136790,1,1420
134,192.168.64.2,99.84.70.21,53662,443,tcp,0,2022-02-08 01:49:12.136799,2022-02-08 01:49:12.136799,1,52
135,99.84.70.21,192.168.64.2,443,53662,tcp,0,2022-02-08 01:49:12.136971,2022-02-08 01:49:12.136971,1,1420
136,192.168.64.2,99.84.70.21,53662,443,tcp,0,2022-02-08 01:49:12.136983,2022-02-08 01:49:12.136983,1,52
137,99.84.70.21,192.168.64.2,443,53662,tcp,0,2022-02-08 01:49:12.138981,2022-02-08 01:49:12.138981,1,1215
138,192.168.64.2,99.84.70.21,53662,443,tcp,0,2022-02-08 01:49:12.138990,2022-02-08 01:49:12.138990,1,52
139,192.168.64.2,99.84.70.21,53662,443,tcp,0,2022-02-08 01:49:12.142618,2022-02-08 01:49:12.142618,1,145
140,192.168.64.2,192.168.64.1,48865,53,udp,0,2022-02-08 01:49:12.197450,2022-02-08 01:49:12.197450,1,82
141,192.168.64.2,192.168.64.1,58015,53,udp,0,2022-02-08 01:49:12.197516,2022-02-08 01:49:12.197516,1,82
142,99.84.70.21,192.168.64.2,443,53662,tcp,0,2022-02-08 01:49:12.206997,2022-02-08 01:49:12.206997,1,52
143,99.84.70.21,192.168.64.2,443,53662,tcp,0,2022-02-08 01:49:12.207210,2022-02-08 01:49:12.207210,1,223
144,192.168.64.2,99.84.70.21,53662,443,tcp,0,2022-02-08 01:49:12.207218,2022-02-08 01:49:12.207218,1,52
145,99.84.70.21,192.168.64.2,443,53662,tcp,0,2022-02-08 01:49:12.207406,2022-02-08 01:49:12.207406,1,121
146,192.168.64.2,99.84.70.21,53662,443,tcp,0,2022-02-08 01:49:12.207408,2022-02-08 01:49:12.207408,1,52
147,192.168.64.2,99.84.70.21,53662,443,tcp,0,2022-02-08 01:49:12.207982,2022-02-08 01:49:12.207982,1,229
148,192.168.64.2,99.84.70.21,53662,443,tcp,0,2022-02-08 01:49:12.207997,2022-02-08 01:49:12.207997,1,353
149,192.168.64.2,99.84.70.21,53662,443,tcp,0,2022-02-08 01:49:12.208091,2022-02-08 01:49:12.208091,1,90
150,192.168.64.2,192.168.64.1,59999,53,udp,0,2022-02-08 01:49:12.229727,2022-02-08 01:49:12.229727,1,84
151,192.168.64.2,192.168.64.1,33651,53,udp,0,2022-02-08 01:49:12.230549,2022-02-08 01:49:12.230549,1,84
152,192.168.64.1,192.168.64.2,53,59999,udp,0,2022-02-08 01:49:12.234126,2022-02-08 01:49:12.234126,1,100
153,192.168.64.1,192.168.64.2,53,33651,udp,0,2022-02-08 01:49:12.234898,2022-02-08 01:49:12.234898,1,112
154,192.168.64.2,142.251.40.74,45526,443,tcp,0,2022-02-08 01:49:12.235199,2022-02-08 01:49:12.235199,1,60
155,192.168.64.1,192.168.64.2,53,48865,udp,0,2022-02-08 01:49:12.239875,2022-02-08 01:49:12.239875,1,136
156,192.168.64.1,192.168.64.2,53,58015,udp,0,2022-02-08 01:49:12.246820,2022-02-08 01:49:12.246820,1,202
157,192.168.64.2,192.168.64.1,41139,53,udp,0,2022-02-08 01:49:12.247018,2022-02-08 01:49:12.247018,1,81
158,192.168.64.1,192.168.64.2,53,41139,udp,0,2022-02-08 01:49:12.247559,2022-02-08 01:49:12.247559,1,166
159,192.168.64.2,192.168.64.1,45870,53,udp,0,2022-02-08 01:49:12.248452,2022-02-08 01:49:12.248452,1,81
160,192.168.64.1,192.168.64.2,53,45870,udp,0,2022-02-08 01:49:12.251768,2022-02-08 01:49:12.251768,1,166
161,192.168.64.2,52.39.242.231,38722,443,tcp,0,2022-02-08 01:49:12.252179,2022-02-08 01:49:12.252179,1,60
162,142.251.40.74,192.168.64.2,443,45526,tcp,0,2022-02-08 01:49:12.254881,2022-02-08 01:49:12.254881,1,60
163,192.168.64.2,142.251.40.74,45526,443,tcp,0,2022-02-08 01:49:12.254904,2022-02-08 01:49:12.254904,1,52
164,192.168.64.2,142.251.40.74,45526,443,tcp,0,2022-02-08 01:49:12.256032,2022-02-08 01:49:12.256032,1,569
165,99.84.70.21,192.168.64.2,443,53662,tcp,0,2022-02-08 01:49:12.269332,2022-02-08 01:49:12.269332,1,52
166,99.84.70.21,192.168.64.2,443,53662,tcp,0,2022-02-08 01:49:12.269333,2022-02-08 01:49:12.269333,1,52
167,99.84.70.21,192.168.64.2,443,53662,tcp,0,2022-02-08 01:49:12.269433,2022-02-08 01:49:12.269433,1,52
168,99.84.70.21,192.168.64.2,443,53662,tcp,0,2022-02-08 01:49:12.269690,2022-02-08 01:49:12.269690,1,90
169,192.168.64.2,99.84.70.21,53662,443,tcp,0,2022-02-08 01:49:12.269703,2022-02-08 01:49:12.269703,1,52
170,99.84.70.21,192.168.64.2,443,53662,tcp,0,2022-02-08 01:49:12.270241,2022-02-08 01:49:12.270241,1,2788
171,192.168.64.2,99.84.70.21,53662,443,tcp,0,2022-02-08 01:49:12.270246,2022-02-08 01:49:12.270246,1,52
172,99.84.70.21,192.168.64.2,443,53662,tcp,0,2022-02-08 01:49:12.270560,2022-02-08 01:49:12.270560,1,1420
173,192.168.64.2,99.84.70.21,53662,443,tcp,0,2022-02-08 01:49:12.270563,2022-02-08 01:49:12.270563,1,52
174,99.84.70.21,192.168.64.2,443,53662,tcp,0,2022-02-08 01:49:12.271018,2022-02-08 01:49:12.271018,1,1420
175,192.168.64.2,99.84.70.21,53662,443,tcp,0,2022-02-08 01:49:12.271025,2022-02-08 01:49:12.271025,1,52
176,99.84.70.21,192.168.64.2,443,53662,tcp,0,2022-02-08 01:49:12.271805,2022-02-08 01:49:12.271805,1,303
177,192.168.64.2,99.84.70.21,53662,443,tcp,0,2022-02-08 01:49:12.271807,2022-02-08 01:49:12.271807,1,52
178,142.251.40.74,192.168.64.2,443,45526,tcp,0,2022-02-08 01:49:12.276114,2022-02-08 01:49:12.276114,1,52
179,142.251.40.74,192.168.64.2,443,45526,tcp,0,2022-02-08 01:49:12.278107,2022-02-08 01:49:12.278107,1,2788
180,192.168.64.2,142.251.40.74,45526,443,tcp,0,2022-02-08 01:49:12.278116,2022-02-08 01:49:12.278116,1,52
181,142.251.40.74,192.168.64.2,443,45526,tcp,0,2022-02-08 01:49:12.278348,2022-02-08 01:49:12.278348,1,1420
182,192.168.64.2,142.251.40.74,45526,443,tcp,0,2022-02-08 01:49:12.278364,2022-02-08 01:49:12.278364,1,52
183,142.251.40.74,192.168.64.2,443,45526,tcp,0,2022-02-08 01:49:12.278371,2022-02-08 01:49:12.278371,1,631
184,192.168.64.2,142.251.40.74,45526,443,tcp,0,2022-02-08 01:49:12.278373,2022-02-08 01:49:12.278373,1,52
185,192.168.64.2,192.168.64.1,35470,53,udp,0,2022-02-08 01:49:12.282035,2022-02-08 01:49:12.282035,1,70
186,192.168.64.2,192.168.64.1,46069,53,udp,0,2022-02-08 01:49:12.282082,2022-02-08 01:49:12.282082,1,70
187,192.168.64.1,192.168.64.2,53,35470,udp,0,2022-02-08 01:49:12.288219,2022-02-08 01:49:12.288219,1,121
188,192.168.64.1,192.168.64.2,53,46069,udp,0,2022-02-08 01:49:12.288220,2022-02-08 01:49:12.288220,1,133
189,192.168.64.2,142.250.115.94,44326,80,tcp,0,2022-02-08 01:49:12.288580,2022-02-08 01:49:12.288580,1,60
190,142.250.115.94,192.168.64.2,80,44326,tcp,0,2022-02-08 01:49:12.310039,2022-02-08 01:49:12.310039,1,60
191,192.168.64.2,142.250.115.94,44326,80,tcp,0,2022-02-08 01:49:12.310067,2022-02-08 01:49:12.310067,1,52
192,192.168.64.2,142.250.115.94,44326,80,tcp,0,2022-02-08 01:49:12.310268,2022-02-08 01:49:12.310268,1,478
193,52.39.242.231,192.168.64.2,443,38722,tcp,0,2022-02-08 01:49:12.321014,2022-02-08 01:49:12.321014,1,60
194,192.168.64.2,52.39.242.231,38722,443,tcp,0,2022-02-08 01:49:12.321030,2022-02-08 01:49:12.321030,1,52
195,192.168.64.2,52.39.242.231,38722,443,tcp,0,2022-02-08 01:49:12.322068,2022-02-08 01:49:12.322068,1,569
196,142.250.115.94,192.168.64.2,80,44326,tcp,0,2022-02-08 01:49:12.332340,2022-02-08 01:49:12.332340,1,52
197,192.168.64.2,192.168.64.1,51434,53,udp,0,2022-02-08 01:49:12.356137,2022-02-08 01:49:12.356137,1,87
198,192.168.64.2,192.168.64.1,54003,53,udp,0,2022-02-08 01:49:12.356200,2022-02-08 01:49:12.356200,1,87
199,192.168.64.2,99.84.70.99,46466,443,tcp,0,2022-02-08 01:49:12.362085,2022-02-08 01:49:12.362085,1,60
200,142.250.115.94,192.168.64.2,80,44326,tcp,0,2022-02-08 01:49:12.369508,2022-02-08 01:49:12.369508,1,754
201,192.168.64.2,142.250.115.94,44326,80,tcp,0,2022-02-08 01:49:12.369521,2022-02-08 01:49:12.369521,1,52
202,192.168.64.2,142.251.40.74,45526,443,tcp,0,2022-02-08 01:49:12.370496,2022-02-08 01:49:12.370496,1,116
203,192.168.64.2,142.251.40.74,45526,443,tcp,0,2022-02-08 01:49:12.370682,2022-02-08 01:49:12.370682,1,222
204,192.168.64.2,142.251.40.74,45526,443,tcp,0,2022-02-08 01:49:12.370691,2022-02-08 01:49:12.370691,1,666
205,142.251.40.74,192.168.64.2,443,45526,tcp,0,2022-02-08 01:49:12.390681,2022-02-08 01:49:12.390681,1,52
206,142.251.40.74,192.168.64.2,443,45526,tcp,0,2022-02-08 01:49:12.390730,2022-02-08 01:49:12.390730,1,660
207,192.168.64.2,142.251.40.74,45526,443,tcp,0,2022-02-08 01:49:12.390735,2022-02-08 01:49:12.390735,1,52
208,52.39.242.231,192.168.64.2,443,38722,tcp,0,2022-02-08 01:49:12.390863,2022-02-08 01:49:12.390863,1,52
209,192.168.64.2,142.251.40.74,45526,443,tcp,0,2022-02-08 01:49:12.390975,2022-02-08 01:49:12.390975,1,83
210,142.251.40.74,192.168.64.2,443,45526,tcp,0,2022-02-08 01:49:12.391072,2022-02-08 01:49:12.391072,1,83
211,192.168.64.2,142.251.40.74,45526,443,tcp,0,2022-02-08 01:49:12.391074,2022-02-08 01:49:12.391074,1,52
212,142.251.40.74,192.168.64.2,443,45526,tcp,0,2022-02-08 01:49:12.391768,2022-02-08 01:49:12.391768,1,397
